LigneId,ArretId,SequenceArret,Girouette,Longitude,Latitude
350,11509,14,Beaconsfield,-73.847391976023,45.4349736654937
350,11502,1,Lucien-L'Allier,-74.06042,45.40567
350,11551,2,Lucien-L'Allier,-74.1409350240092,45.4596284611522
350,11502,3,Lucien-L'Allier,-74.06042,45.40567
350,11725,4,Lucien-L'Allier,-74.0505567791293,45.3989996709264
350,11721,5,Lucien-L'Allier,-74.0082543463005,45.3863907208218
350,11717,6,Lucien-L'Allier,-73.9922728170067,45.3871716083424
350,11565,7,Lucien-L'Allier,-73.9654246607855,45.3959228309534
350,11669,8,Lucien-L'Allier,-73.9512126079595,45.4076060412765
350,11519,9,Lucien-L'Allier,-73.9155583909618,45.4199073950824
350,11507,10,Lucien-L'Allier,-73.8872557173005,45.4273946742413
350,11511,11,Lucien-L'Allier,-73.847391976023,45.4349736654937
350,11649,12,Lucien-L'Allier,-73.8198778299671,45.442414831553
350,11653,13,Lucien-L'Allier,-73.8034394320935,45.4472468978668
350,11657,14,Lucien-L'Allier,-73.7908728809287,45.4497451835371
350,11543,15,Lucien-L'Allier,-73.7642548484703,45.4495938997837
350,11547,16,Lucien-L'Allier,-73.7431076525197,45.4491999376701
350,11555,17,Lucien-L'Allier,-73.7113237489741,45.4486782577965
350,11601,19,Lucien-L'Allier,-73.6417387653488,45.4536719903492
350,11605,20,Lucien-L'Allier,-73.6030995911778,45.4737620423281
350,11613,21,Lucien-L'Allier,-73.570805750666,45.4947620353203
350,11503,1,Vaudreuil,-73.665026,45.452827
350,11615,4,Vaudreuil,-73.570805750666,45.4947620353203
350,11607,5,Vaudreuil,-73.6030995911778,45.4737620423281
350,11603,6,Vaudreuil,-73.6417387653488,45.4536719903492
350,11553,8,Vaudreuil,-73.7113237489741,45.4486782577965
350,11545,9,Vaudreuil,-73.7431076525197,45.4491999376701
350,11541,10,Vaudreuil,-73.7642548484703,45.4495938997837
350,11655,11,Vaudreuil,-73.7908728809287,45.4497451835371
350,11651,12,Vaudreuil,-73.8034394320935,45.4472468978668
350,11647,13,Vaudreuil,-73.8198778299671,45.442414831553
350,11509,14,Vaudreuil,-73.847391976023,45.4349736654937
350,11505,15,Vaudreuil,-73.8872557173005,45.4273946742413
350,11517,16,Vaudreuil,-73.9155583909618,45.4199073950824
350,11667,17,Vaudreuil,-73.9512126079595,45.4076060412765
350,11563,18,Vaudreuil,-73.9654246607855,45.3959228309534
350,11715,19,Vaudreuil,-73.9922728170067,45.3871716083424
350,11719,20,Vaudreuil,-74.0082543463005,45.3863907208218
350,11723,21,Vaudreuil,-74.0505567791293,45.3989996709264
350,11502,22,Vaudreuil,-74.06042,45.40567
